question_date_ist,question_time_ist,question,status,guardian_id
2025-10-29,"29 Oct 2025, 11:03:48 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 11:00:23 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:59:30 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:51:57 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:47:36 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:44:57 PM",when does school reopen,no-structured-date,null
2025-10-29,"29 Oct 2025, 10:43:29 PM",give me details on the Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 10:42:51 PM",when is the Nashik trip?,answered,null
2025-10-29,"29 Oct 2025, 10:41:57 PM",what is the plan for January next year?,answered,null
2025-10-29,"29 Oct 2025, 10:41:37 PM",tell me about edu trip,answered,null
2025-10-29,"29 Oct 2025, 10:40:42 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:37:43 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:36:03 PM",when is the next field trip,answered,null
2025-10-29,"29 Oct 2025, 10:28:27 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:26:34 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:24:43 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:20:11 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:18:36 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:16:55 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:07:58 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:04:37 PM",what is the circular about school rankings?,answered,null
2025-10-29,"29 Oct 2025, 10:04:01 PM",when is Christmas break,answered,null
2025-10-29,"29 Oct 2025, 10:03:34 PM",tell me about Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 10:02:54 PM",when is the next field trip,answered,null
2025-10-29,"29 Oct 2025, 09:55:26 PM",tell me about Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 09:54:19 PM",when is the next field trip,answered,null
2025-10-29,"29 Oct 2025, 09:51:37 PM",when is the next field trip,no-structured-event,null
2025-10-29,"29 Oct 2025, 08:03:49 PM",when is Christmas break,answered,null
2025-10-29,"29 Oct 2025, 08:03:21 PM",whn is Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 08:02:06 PM",whn is Nashik trip,no-structured-event,null
2025-10-29,"29 Oct 2025, 06:28:33 PM",When is Diwali vacation,answered,null
2025-10-29,"29 Oct 2025, 06:27:55 PM",How many students in each class,answered,null
2025-10-29,"29 Oct 2025, 06:27:33 PM",How many students in class,answered,null
2025-10-29,"29 Oct 2025, 06:25:15 PM",when is the next field trip,no-structured-event,null
2025-10-29,"29 Oct 2025, 06:22:15 PM",field trip,no-structured-event,null
2025-10-29,"29 Oct 2025, 06:21:59 PM",when is the next field trip,no-structured-event,null
2025-10-29,"29 Oct 2025, 06:01:58 PM",when is the next field trip,answered,null
2025-10-29,"29 Oct 2025, 05:37:01 PM",when is the next field trip,answered,null
2025-10-29,"29 Oct 2025, 04:56:04 PM",wanted to know when will be our culmination in December?,answered,null
2025-10-29,"29 Oct 2025, 04:55:46 PM",Who do I contact for bus pickup issues,no-structured-contact,null
2025-10-29,"29 Oct 2025, 04:49:00 PM",when is culmination,answered,null
2025-10-29,"29 Oct 2025, 04:48:42 PM",tell me more about Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 04:39:43 PM",when is Nashik trip?,answered,null
2025-10-29,"29 Oct 2025, 04:32:47 PM",wanted to know when will be our culmination in December?,answered,null
2025-10-29,"29 Oct 2025, 04:28:09 PM",Who do I contact for bus pickup issues,answered,null
2025-10-29,"29 Oct 2025, 12:53:47 PM",whn is Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 12:52:57 PM",Who do I contact for bus pickup issues,answered,null
2025-10-29,"29 Oct 2025, 12:50:20 PM",when is next school break?,answered,null
2025-10-29,"29 Oct 2025, 12:48:53 PM",when is LogiQids?,answered,null
2025-10-29,"29 Oct 2025, 12:48:33 PM",what is the school rank,answered,null
2025-10-29,"29 Oct 2025, 12:48:05 PM",tell me about the most recent circular,answered,null
2025-10-29,"29 Oct 2025, 12:47:34 PM",when diwali break end?,answered,null
2025-10-29,"29 Oct 2025, 12:44:11 PM",when is next school break?,answered,null
2025-10-29,"29 Oct 2025, 12:43:49 PM",when is halloween,answered,null
2025-10-29,"29 Oct 2025, 12:43:22 PM",tell me about Nashik trip,answered,null
2025-10-29,"29 Oct 2025, 12:38:33 PM",when diwali break end?,answered,null
2025-10-29,"29 Oct 2025, 12:27:43 PM",when diwali break end?,answered,null
2025-10-29,"29 Oct 2025, 10:59:36 AM",when does diwali break end?,answered,null
2025-10-29,"29 Oct 2025, 10:57:14 AM",when does diwali break end?,answered,null
2025-10-29,"29 Oct 2025, 10:43:46 AM",when does diwali break end?,answered,null
2025-10-28,"28 Oct 2025, 08:41:08 AM",Where is grade 9 going for edutrip,answered,null
2025-10-27,"27 Oct 2025, 11:16:18 PM",when does diwali break end?,answered,null
2025-10-27,"27 Oct 2025, 10:24:19 PM",When is the halloween celebration?,answered,null
2025-10-27,"27 Oct 2025, 10:21:43 PM",When is the n÷xt field trip?,answered,null
2025-10-27,"27 Oct 2025, 08:49:36 PM",When is Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 07:22:15 PM",When is Halloween celebration in primary,answered,null
2025-10-27,"27 Oct 2025, 07:19:16 PM",When does school reopen,answered,null
2025-10-27,"27 Oct 2025, 07:18:40 PM",When is Nashik trip?,answered,null
2025-10-27,"27 Oct 2025, 07:17:57 PM",When is Diwali vacation?,answered,null
2025-10-27,"27 Oct 2025, 06:55:34 PM",when does diwali break end?,answered,null
2025-10-27,"27 Oct 2025, 06:53:17 PM",when is Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 04:24:03 AM",when does the term end?,answered,null
2025-10-27,"27 Oct 2025, 04:23:07 AM",what should kids wear on halloween?,answered,null
2025-10-27,"27 Oct 2025, 04:22:00 AM",what is plan for halloween?,answered,null
2025-10-27,"27 Oct 2025, 04:14:55 AM",when does diwali break end?,answered,null
2025-10-27,"27 Oct 2025, 04:14:40 AM",when does it end?,answered,null
2025-10-27,"27 Oct 2025, 04:14:17 AM",when is diwali vacation?,answered,null
2025-10-27,"27 Oct 2025, 04:13:33 AM",when is inspireus?,answered,null
2025-10-27,"27 Oct 2025, 04:11:17 AM",is 31st December a holiday?,answered,null
2025-10-27,"27 Oct 2025, 04:00:30 AM",who is on the pta?,answered,null
2025-10-27,"27 Oct 2025, 04:00:09 AM",is 31st December a holiday?,answered,null
2025-10-27,"27 Oct 2025, 03:59:58 AM",tell me about the Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 03:56:20 AM",tell me about the Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 03:56:03 AM",is 31st December a holiday?,answered,null
2025-10-27,"27 Oct 2025, 03:49:39 AM",is 31st December a holiday?,answered,null
2025-10-27,"27 Oct 2025, 03:49:02 AM",who is on the pta?,answered,null
2025-10-27,"27 Oct 2025, 03:43:43 AM",tell me more about Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 03:40:35 AM",tell me more about Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 03:38:02 AM",tell me more about Nashik trip,answered,null
2025-10-27,"27 Oct 2025, 03:37:39 AM",when is christmas break?,answered,null
2025-10-27,"27 Oct 2025, 03:37:18 AM",when is next break?,answered,null
2025-10-27,"27 Oct 2025, 03:21:12 AM",when is the next break,answered,null
2025-10-27,"27 Oct 2025, 03:18:45 AM",when is Christmas break?,answered,null
2025-10-26,"26 Oct 2025, 11:46:12 PM",when is the next holiday break,answered,null
2025-10-26,"26 Oct 2025, 02:40:31 PM",When do we have spring break in school,answered,null
2025-10-26,"26 Oct 2025, 02:39:22 PM",When do we have Halloween party in school,answered,null
2025-10-26,"26 Oct 2025, 02:36:19 PM",When are inspireus dates,answered,null
2025-10-26,"26 Oct 2025, 02:33:51 PM",When is mid term break,answered,null
2025-10-26,"26 Oct 2025, 12:48:09 PM",Nashik,answered,null
2025-10-26,"26 Oct 2025, 12:35:34 PM",Nasik trip,answered,null
2025-10-26,"26 Oct 2025, 12:24:49 PM",When is Nashik trip?,answered,null
2025-10-25,"25 Oct 2025, 09:51:58 PM",tell me about unicorn day?,answered,null
2025-10-25,"25 Oct 2025, 09:49:24 PM",when is the chrismas break?,answered,null
2025-10-25,"25 Oct 2025, 09:46:44 PM",when do classes resume?,answered,null
2025-10-25,"25 Oct 2025, 09:40:15 PM",What was the last school holiday?,answered,null
2025-10-25,"25 Oct 2025, 09:39:35 PM",when is chrismas break?,answered,null
2025-10-25,"25 Oct 2025, 09:20:02 PM",when is scince olympiad,answered,null
2025-10-25,"25 Oct 2025, 09:06:15 PM",when is science olympiad,answered,null
2025-10-25,"25 Oct 2025, 09:05:34 PM",when is Nashik trip,answered,null
2025-10-25,"25 Oct 2025, 09:05:12 PM",when is nasik trip,answered,null
2025-10-25,"25 Oct 2025, 09:04:37 PM",when is Chrismas break,answered,null
2025-10-24,"24 Oct 2025, 11:10:48 AM",when is the math olympiad,answered,null
2025-10-24,"24 Oct 2025, 10:37:53 AM",when is halloween,answered,null
2025-10-24,"24 Oct 2025, 10:37:30 AM",when is halloween,answered,null
2025-10-24,"24 Oct 2025, 12:17:28 AM",Why the super market field trip repeative this year toooo ????,answered,null
2025-10-23,"23 Oct 2025, 07:04:34 PM",When is the math olympiad,answered,null
2025-10-23,"23 Oct 2025, 06:32:43 PM",who is on the pta?,answered,null
2025-10-23,"23 Oct 2025, 06:29:26 PM",when is the upcoming logiqids exam?,answered,null
2025-10-23,"23 Oct 2025, 06:20:33 PM",tell me about nashik trip,answered,null
2025-10-23,"23 Oct 2025, 06:19:38 PM",tell me about nashik trip,answered,null
2025-10-23,"23 Oct 2025, 06:12:06 PM",when is christmas holidays?,answered,null
2025-10-23,"23 Oct 2025, 06:11:45 PM",when is next school break,answered,null
2025-10-23,"23 Oct 2025, 06:08:28 PM",when is nashik trip,answered,null
2025-10-23,"23 Oct 2025, 06:07:57 PM",when is diwali break,answered,null
2025-10-23,"23 Oct 2025, 06:06:38 PM",tell me about nashik trip,escalated,null
2025-10-22,"22 Oct 2025, 06:14:38 AM",What should i bring for a field trip,answered,null
2025-10-22,"22 Oct 2025, 06:14:15 AM",What teachers r at school,answered,null
2025-10-22,"22 Oct 2025, 06:13:50 AM",Whats the tuition at school?,answered,null
2025-10-22,"22 Oct 2025, 06:03:06 AM",what are some of the cool activities kids are doing,answered,null
2025-10-22,"22 Oct 2025, 06:02:28 AM",When is Christmas vacation?,answered,null
2025-10-22,"22 Oct 2025, 01:08:21 AM",when is nashik trip?,answered,null
2025-10-22,"22 Oct 2025, 01:06:00 AM",who is on the pta?,answered,null
2025-10-22,"22 Oct 2025, 01:05:40 AM",when is the next holiday,answered,null
2025-10-22,"22 Oct 2025, 01:05:18 AM",when is diwali break?,answered,null
2025-10-22,"22 Oct 2025, 12:49:19 AM",tell me about nashik trip,answered,null
2025-10-22,"22 Oct 2025, 12:49:02 AM",when is christmas break for primary section?,answered,null
2025-10-22,"22 Oct 2025, 12:48:39 AM",when is christmas break,answered,null
2025-10-22,"22 Oct 2025, 12:37:24 AM",when is the next progress review day?,answered,null
2025-10-22,"22 Oct 2025, 12:36:40 AM",when is christmas break,answered,null
2025-10-22,"22 Oct 2025, 12:05:29 AM",when is christmas break?,answered,null
2025-10-22,"22 Oct 2025, 12:03:35 AM",what is the cafeteria menu for the month?,answered,null
2025-10-22,"22 Oct 2025, 12:02:59 AM",what is the current cafeteria menu?,answered,null
2025-10-21,"21 Oct 2025, 11:58:08 PM",when is christmas break?,answered,null
2025-10-21,"21 Oct 2025, 11:57:56 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 11:55:14 PM",when is christmas break?,answered,null
2025-10-21,"21 Oct 2025, 11:54:57 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 11:50:37 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 11:50:22 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 11:49:12 PM",when is the english olympiad?,answered,null
2025-10-21,"21 Oct 2025, 11:48:31 PM",when is the english o;ympiad?,answered,null
2025-10-21,"21 Oct 2025, 11:47:55 PM",what should i wear tomorrow?,answered,null
2025-10-21,"21 Oct 2025, 11:46:06 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 11:45:42 PM",when is the science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 11:45:21 PM",give me details on the science olympiad,answered,null
2025-10-21,"21 Oct 2025, 11:45:01 PM",give me details on the science olypiad,answered,null
2025-10-21,"21 Oct 2025, 11:41:24 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 11:39:04 PM",What should my child wear tomorrow?,answered,null
2025-10-21,"21 Oct 2025, 11:38:47 PM",When is the Science Olympiad?,answered,null
2025-10-21,"21 Oct 2025, 10:43:59 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 10:43:26 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 09:29:53 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 09:29:39 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 09:13:24 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 09:13:12 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 09:00:12 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 08:59:56 PM",when are the junior boys soccer finals?,answered,null
2025-10-21,"21 Oct 2025, 08:57:59 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 08:55:11 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 08:19:29 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 08:02:09 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 07:51:33 PM",What should I bring for the field trip?,answered,null
2025-10-21,"21 Oct 2025, 07:50:45 PM",What should I bring for the field trip?,answered,null
2025-10-21,"21 Oct 2025, 07:50:15 PM",When is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 07:14:30 PM",when is science olympiad?,answered,null
2025-10-21,"21 Oct 2025, 07:13:54 PM",when are the junior boys soccer finals?,answered,null
2025-10-21,"21 Oct 2025, 07:05:43 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 06:45:00 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 06:42:15 PM",Is there school today,answered,null
2025-10-21,"21 Oct 2025, 06:25:52 PM",when is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 06:25:03 PM",is tomorrow a holiday?,answered,null
2025-10-21,"21 Oct 2025, 06:24:32 PM",when is diwali break ending?,answered,null
2025-10-21,"21 Oct 2025, 06:13:49 PM",is tomorrow a holiday?,answered,null
2025-10-21,"21 Oct 2025, 06:06:44 PM",is tomorrow holiday?,answered,null
2025-10-21,"21 Oct 2025, 06:06:34 PM",What homework do I have this week,answered,null
2025-10-21,"21 Oct 2025, 06:05:07 PM",when is the next holiday?,answered,null
2025-10-21,"21 Oct 2025, 05:57:57 PM",is tomorrow holiday?,answered,null
2025-10-21,"21 Oct 2025, 05:35:20 PM",is tomorrow holiday?,answered,null
2025-10-21,"21 Oct 2025, 05:11:54 PM",what should i bring for the field trip,answered,null
2025-10-21,"21 Oct 2025, 05:11:00 PM",what uniform do they wear on friday?,answered,null
2025-10-21,"21 Oct 2025, 04:41:12 PM",What uniform do they wear on Friday,answered,null
2025-10-21,"21 Oct 2025, 04:40:41 PM",What should I bring for the field trip?,answered,null
2025-10-21,"21 Oct 2025, 04:39:44 PM",When is the next school break?,answered,null
2025-10-21,"21 Oct 2025, 04:33:33 PM",where can i find the progress reports?,answered,null
2025-10-21,"21 Oct 2025, 04:28:40 PM",is there an upcoming fundraising event?,answered,null
2025-10-21,"21 Oct 2025, 04:13:23 PM",when is supermarket trip scheduled?,answered,null
2025-10-21,"21 Oct 2025, 04:07:59 PM",diwali break,answered,null
2025-10-21,"21 Oct 2025, 04:00:43 PM",diwali break,answered,null
2025-10-21,"21 Oct 2025, 02:43:35 PM",nashik trip,answered,null
2025-10-21,"21 Oct 2025, 02:42:02 PM",tell me about nashik trip,answered,null
2025-10-21,"21 Oct 2025, 02:38:34 PM",i want to know about nashik trip,answered,null
2025-10-21,"21 Oct 2025, 02:36:14 PM",i want to know in detail about the nashik trip,answered,null
2025-10-21,"21 Oct 2025, 02:27:06 PM",when are fees due?,answered,null
2025-10-21,"21 Oct 2025, 02:23:47 PM",when are fees due?,answered,null
2025-10-21,"21 Oct 2025, 02:22:31 PM",what did jbcn recently get recognition for?,answered,null
2025-10-21,"21 Oct 2025, 01:58:04 PM",what did jbcn recently get recognition for?,answered,null
2025-10-21,"21 Oct 2025, 01:52:00 PM",what was jbcn recently recognized for?,answered,null
2025-10-21,"21 Oct 2025, 01:34:18 PM",tell me a recent recognition for jbcn,answered,null
2025-10-21,"21 Oct 2025, 01:33:26 PM",what are names of kids in ena class,answered,null
2025-10-21,"21 Oct 2025, 01:32:29 PM",how many working days of school?,answered,null
2025-10-21,"21 Oct 2025, 01:31:13 PM",when does diwali break end?,answered,null
2025-10-21,"21 Oct 2025, 01:28:40 PM",what are upcoming events for primary section?,answered,null
2025-10-21,"21 Oct 2025, 01:27:46 PM",tell me about nashik trip,answered,null
2025-10-21,"21 Oct 2025, 01:23:47 PM",what about q3 fees?,answered,null
2025-10-21,"21 Oct 2025, 01:22:05 PM",what about Payment of Q3 Fees,answered,null
2025-10-21,"21 Oct 2025, 01:21:25 PM",what was the last day to pay fees?,answered,null
2025-10-21,"21 Oct 2025, 01:21:13 PM",what was the last day to pay fees?,answered,null
2025-10-21,"21 Oct 2025, 01:16:16 PM",tell me about nashik trip,answered,null
2025-10-20,"20 Oct 2025, 11:09:10 PM",tell me about the nashik trip,answered,null
2025-10-20,"20 Oct 2025, 11:07:17 PM",what is in the C 165 circular?,answered,null
2025-10-20,"20 Oct 2025, 11:05:00 PM",is there a supermarket trip coming up?,answered,null
2025-10-20,"20 Oct 2025, 03:29:01 AM",when does school resume,answered,null
2025-10-20,"20 Oct 2025, 03:08:26 AM",when is inspireus?,escalated,null
2025-10-20,"20 Oct 2025, 03:08:12 AM",when is inspire us?,answered,null
2025-10-20,"20 Oct 2025, 03:03:47 AM",when is inspire us?,answered,null
2025-10-20,"20 Oct 2025, 03:02:47 AM",tell me about nashik trip,answered,null
2025-10-20,"20 Oct 2025, 02:55:18 AM",tell me about nashik trip,answered,null
2025-10-20,"20 Oct 2025, 02:29:23 AM",tell me about nashik trip,answered,null
2025-10-20,"20 Oct 2025, 02:28:47 AM",string,escalated,null
2025-10-20,"20 Oct 2025, 02:23:55 AM",string,escalated,null
2025-10-20,"20 Oct 2025, 02:16:43 AM",string,escalated,null
2025-10-20,"20 Oct 2025, 01:24:01 AM",tell me about nashik trip,escalated,null
2025-10-20,"20 Oct 2025, 01:23:13 AM",tell me about nashik trip,escalated,null
2025-10-20,"20 Oct 2025, 12:51:57 AM",tell me about nashik trip,escalated,null
2025-10-19,"19 Oct 2025, 11:08:39 PM",tell me about nashik trip,answered,null
2025-10-19,"19 Oct 2025, 10:59:35 PM",tell me more about nashik trip,escalated,null
2025-10-19,"19 Oct 2025, 10:51:31 PM",tell me more about nashik trip,escalated,null
2025-10-19,"19 Oct 2025, 10:48:02 PM",tell me about the nashik trip,escalated,null
2025-10-19,"19 Oct 2025, 10:24:56 PM",tell me about the nashik trip,answered,null
2025-10-19,"19 Oct 2025, 10:24:19 PM",tell me about the nashik trip,answered,null
2025-10-19,"19 Oct 2025, 10:14:28 PM",tell me about the nashik trip,answered,null
2025-10-19,"19 Oct 2025, 05:53:01 PM",when is inspireus?,escalated,null
2025-10-19,"19 Oct 2025, 05:50:04 PM",when is the edu trip?,answered,null
2025-10-19,"19 Oct 2025, 05:48:16 PM",when does school resume after diwali?,answered,null
2025-10-19,"19 Oct 2025, 05:42:14 PM",when is the edu trip?,answered,null
2025-10-19,"19 Oct 2025, 05:35:18 PM",when is diwali celebration,answered,null
2025-10-19,"19 Oct 2025, 05:32:29 PM",when is the edutrip?,escalated,null
2025-10-18,"18 Oct 2025, 02:32:31 PM",When is the Diwali break?,answered,null
2025-10-17,"17 Oct 2025, 11:59:12 PM",When is the Diwali break?,answered,null
2025-10-17,"17 Oct 2025, 11:42:12 PM",When is the Diwali break?,answered,null
2025-10-17,"17 Oct 2025, 11:40:00 PM",When is the Diwali break?,answered,null
2025-10-17,"17 Oct 2025, 10:38:25 PM",When is the Diwali break?,escalated,null
