id,guardian_id,question,answer,status,similarity_score,llm_model,response_latency_ms,cited_document_ids,escalated_at,created_at
b98f29a3-bf88-4c3b-b3f2-2a5ec219b336,null,tell me about school ranking,"I do not know based on the available sources.

Sources:
1. LQ Exam Circular (JBCN International School, Parel) (2) — 2025-11-12
2. Grade 3 ENA Welcoming The Learners Back To School — 2025-10-29
3. C 081 (2025 26) Clarification About Diwali Break & School Reopening — 2025-10-24
4. C 016 (2025 26) School Bus Routes For The AY 25 26 — 2025-11-01
5. C 062 (2025 26) School Schedule For Tuesday, 19th August 2025 — 2025-08-19",answered,0.55,gemini-2.0-flash,27008,"[""b5f6c37c-3348-4405-ae14-2b75b08d7639"",""7f0e37ea-f91d-49eb-8d49-261e8136d733"",""066f49cd-2f7a-427f-a971-f2f83e7c62a8"",""4738b239-a818-4e0f-ac5e-67218a1dca93"",""2496a2dc-ebe3-4277-b85c-6804742a9f9e""]",null,2025-10-29 18:22:35.002568+00
f63155c1-2969-4d85-b90b-09881872353b,null,when is Nashik trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on an educational trip to Nashik from January 14th to January 16th, 2026, according to the calendar. The trip begins on January 14th, continues on January 15th, and concludes on January 16th, 2026, as per the calendar. The Parent Orientation JBCN Parel G3 Nashik circular mentions activities planned for January 15th and 16th, 2026, including adventure activities and the return to Mumbai. The accommodation will be at Nashik Freesia Resort by Express Inn, with quad-sharing basis intercity transport in AC Deluxe Coaches (Circular: Parent Orientation JBCN Parel G3 Nashik).

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Edu Trip Ends (Grade 3,4 & 5) — 2026-01-16
5. Edu Trip (Grade 3 ,4 & 5) — 2026-01-15",answered,0.97,gemini-2.0-flash,20836,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888""]",null,2025-10-29 18:21:45.435256+00
992bec99-12b7-4f82-93e6-98bd321d029a,null,when is LogiQids?,"Calendar: LogiQids - Level 1 (Grade 1- 5) runs on 12 Nov 2025. LogiQids - Level 1 (Grade 1- 5). Audience: primary.

Circulars:
- Logiqids Logical Reasoning Exam To Be Held On 12th November",answered,null,calendar-resolver,4198,"[""c36fbb8e-b7dd-4b2b-9e64-3cab176388d6""]",null,2025-10-29 18:21:10.758024+00
c732cc5b-4166-4e09-9c9d-29cab456f1e3,null,when is children day?,"Calendar: Children's Day Celebration runs on 14 Nov 2025. Children's Day Celebration. Audience: primary.

Circulars:
- C 046 (2025 26) Subscription For Kids Junior Young Youth Insight Children’s Monthly Magazine
- Welcome To Grade 3 Fun Day Glimpses",answered,null,calendar-resolver,7548,"[""7f2a5859-cc67-429c-8eb4-56f91cf40348"",""98ea9149-206f-404b-a79c-65bc9dc41045""]",null,2025-10-29 18:16:43.219531+00
c7f0890d-f901-48e7-aa29-3c0f1962ab90,null,when is LogiQids?,"Calendar: LogiQids - Level 1 (Grade 1- 5) runs on 12 Nov 2025. LogiQids - Level 1 (Grade 1- 5). Audience: primary.

Circulars:
- Logiqids Logical Reasoning Exam To Be Held On 12th November",answered,null,calendar-resolver,5396,"[""c36fbb8e-b7dd-4b2b-9e64-3cab176388d6""]",null,2025-10-29 18:15:47.135335+00
5fe6f9d6-a773-4a72-bce4-7f99324152ca,null,tell me in detail about Nashik trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on an educational trip to Nashik. According to the calendar, the trip begins on January 14, 2026, and ends on January 16, 2026. The students will be staying at the Nashik Freesia Resort by Express Inn, with quad-sharing room arrangements. The trip includes visits to a Hydroponics & Aeroponics Farm, River Age Old Settlement Trail, Coin Museum, Local school, and Pandavleni Caves. There will also be a Hands-on Archaeology Workshop, Geology Trail, and adventure activities.

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Edu Trip Ends (Grade 3,4 & 5) — 2026-01-16
5. Edu Trip (Grade 3 ,4 & 5) — 2026-01-15",answered,0.97,gemini-2.0-flash,18381,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888""]",null,2025-10-29 18:10:42.591862+00
966bdfa8-b1c1-4a9d-b530-ea6c1595d77d,null,who is on the pta?,"The PTA Executive Committee members for the Academic Year 2025-26 have been announced, and the list is available in circular C 115. The circular mentions that the list has been uploaded to MSO and Toddle. The formation of the PTA Executive Committee is important for promoting parental involvement and collaboration in the school, to optimize learner development in all areas, as mentioned in circular C 043.

Sources:
1. C 115 (2025 26) PTA Executive Committee For The AY 2025 26 — 2025-09-17
2. C 043 (2025 26) Executive Committee Of The PTA For The AY 2025 26 At JBCN International School, Parel — 2025-08-12
3. C 054 (2025 26) Reminder Executive Committee Of The PTA For The AY 2025 26 At JBCN International School, Parel — 2025-08-12
4. C 003 (2025 26) Reminder Myschoolone Orientation & Ancillary Services For AY 2025 26 — 2025-06-05",answered,0.5286854116388374,gemini-2.0-flash,17932,"[""78899dee-e727-49b6-9e6b-608a22956285"",""a8a661ff-2e60-48d3-8efb-f5f27d67e600"",""68572ef8-2aa4-4595-b04d-c394f58d721c"",""208dcc85-b2df-49f1-b95b-0addb146bcb0""]",null,2025-10-29 18:02:24.311132+00
12d72a89-a403-412d-8ed7-37c3371ff804,null,when is Christmas break?,"Calendar: Christmas Break runs from 22 Dec 2025 to 02 Jan 2026 (12 days). Audience: whole_school_holiday.

Circulars:
- C 081 (2025 26) Clarification About Diwali Break & School Reopening",answered,null,calendar-resolver,6458,"[""066f49cd-2f7a-427f-a971-f2f83e7c62a8""]",null,2025-10-29 18:00:32.957422+00
3585aea8-5fd9-48f7-8e56-5c060f9c89ab,null,when is edu trip?,"C 118 (2025 26) Inspirus 2025 26 – Athletic Me Practice Schedule & Guidelines notes The final game allocations will be shared with you before Friday,
19th September 2025 on 19 Sep 2025.

Grade 3 will be going on an educational field trip to Avarya Supermarket, as mentioned in Circular C 165 issued on October 28, 2025. Additionally, according to the calendar, Grade 3 will have an Edu Trip beginning on January 14, 2026, and the trip will end on January 16, 2026. The calendar also mentions that Grades 4 & 5 will begin their Edu Trip on January 13, 2026. Please refer to Circular C 165 for details about the Avarya Supermarket trip.

Sources:
1. C 118 (2025 26) Inspirus 2025 26 – Athletic Me Practice Schedule & Guidelines — 2025-09-19
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Parent Yearly Calendar 2025 26 22072025151110 14 — 2025-10-29
5. Rescheduling Of GL Assessment (PTS Series) — 2025-10-29",answered,0.97,gemini-2.0-flash,29244,"[""5123b677-4509-42a8-8023-3c637bc85787"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888"",""c6b8c998-1d9f-448d-af57-b55f1042d79e"",""57bc5c96-c176-4690-8c7c-14d6484e4773""]",null,2025-10-29 17:58:34.984156+00
d25f5ed7-90a0-41fb-9565-7c7f1e935567,null,when is edutrip?,I couldn't find an event in the circulars that matches your question. Please review the latest field trip or excursion circular for details.,no-structured-event,null,no-structured-event,3260,[],null,2025-10-29 17:57:52.111255+00
0c8cb631-92ad-48b4-be2e-b0f8c524469b,null,Nashik trip tell me about it in detail,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 learners will be going on an educational trip to Nashik. According to the calendar, the Grade 3 trip begins on January 14, 2026, and ends on January 16, 2026. (Calendar) The learners will be staying at the Nashik Freesia Resort by Express Inn, with quad-sharing room allocations. The trip includes visits to a hydroponics & aeroponics farm, a river age-old settlement trail, a coin museum, a local school, and Pandavleni Caves. (Parent Orientation JBCN Parel G3 Nashik) There will also be a hands-on archaeology workshop, adventure activities, and insights into topography and rock origins. (Parent Orientation JBCN Parel G3 Nashik)

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Edu Trip Ends (Grade 3,4 & 5) — 2026-01-16
5. Edu Trip (Grade 3 ,4 & 5) — 2026-01-15",answered,0.97,gemini-2.0-flash,19509,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888""]",null,2025-10-29 17:56:05.215432+00
e524eb0e-fc8f-4976-b709-0834a78cebef,null,when is the edu trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on an educational trip in January 2026. According to the calendar, the Edu Trip begins on January 14, 2026. The trip continues on January 15, 2026, for Grades 3, 4, and 5. The Edu Trip concludes on January 16, 2026, for Grades 3, 4, and 5, as per the calendar.

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Parent Yearly Calendar 2025 26 22072025151110 14 — 2025-10-29
5. C 072 (2025 26) School Schedule For 1st To 4th September 2025 (1) — 2025-09-04",answered,0.97,gemini-2.0-flash,16943,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888"",""c6b8c998-1d9f-448d-af57-b55f1042d79e"",""d859b0ff-062d-4c7a-8925-b2a2fac98726""]",null,2025-10-29 17:47:33.594468+00
43bd8a28-3557-4120-ae6e-02177c79f154,null,edu trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on an educational trip in January 2026. According to the calendar, the Edu Trip begins on January 14, 2026. The trip continues on January 15, 2026, along with Grades 4 and 5. The Edu Trip concludes on January 16, 2026, for Grades 3, 4, and 5, according to the calendar.

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. Parent Yearly Calendar 2025 26 22072025151110 14 — 2025-10-29
3. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
4. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
5. Rescheduling Of GL Assessment (PTS Series) — 2025-10-29",answered,1.0,gemini-2.0-flash,14451,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""c6b8c998-1d9f-448d-af57-b55f1042d79e"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888"",""57bc5c96-c176-4690-8c7c-14d6484e4773""]",null,2025-10-29 17:46:01.561787+00
4d3083ca-f395-46e0-b4e3-2bec490c769a,null,nashik trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on an educational trip to Nashik. According to the calendar, the trip begins on January 14, 2026, and ends on January 16, 2026. The students will be staying at the Nashik Freesia Resort by Express Inn, with quad-sharing room arrangements. While in Nashik, they will visit a hydroponics & aeroponics farm, a coin museum, and Pandavleni Caves, among other activities.

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Edu Trip Ends (Grade 3,4 & 5) — 2026-01-16
5. Edu Trip (Grade 3 ,4 & 5) — 2026-01-15",answered,0.97,gemini-2.0-flash,11208,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888""]",null,2025-10-29 17:45:29.961507+00
03cd6c19-d9fa-41f5-aefe-129752320df5,null,Nashik trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on a trip to Nashik. According to the calendar, the Grade 3 Nashik trip begins on January 14, 2026, and ends on January 16, 2026. The circular ""Parent Orientation JBCN Parel G3 Nashik"" issued on January 16, 2026, mentions that the trip includes activities such as a Hydroponics & Aeroponics Farm Visit, River Age Old Settlement Trail, Coin Museum Visit, Hands-on Archaeology Workshop, Local school Visit, Donation drive, Pandavleni Caves Trek, Geology Trail, and Hands-on Insights into Topography, Rock Origins, and the Art of Mapping the land. The accommodation will be at Nashik Freesia Resort by Express Inn, with quad-sharing rooms. Transportation will be in AC Deluxe Coaches with 2x2 pushback hi-tech seats and a music system.

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
3. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
4. Edu Trip Ends (Grade 3,4 & 5) — 2026-01-16
5. Edu Trip (Grade 3 ,4 & 5) — 2026-01-15",answered,0.97,gemini-2.0-flash,13241,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""f425db34-9d26-44b5-a065-181fe6d04888"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18""]",null,2025-10-29 17:44:31.813502+00
65245f38-a18b-4da4-add8-305eff61a800,null,christmas holidays,Calendar: Christmas Break runs from 22 Dec 2025 to 02 Jan 2026 (12 days). Audience: whole_school_holiday.,answered,null,calendar-resolver,2498,[],null,2025-10-29 17:44:04.863077+00
4a9b4db8-d6d5-47e1-aca4-ea995c7d454a,null,what is the circular about school rankings?,"Circular C 172, issued on October 28, 2025, celebrates JBCN International School, Parel's outstanding national rankings for the academic year 2025-26. It highlights the school's achievement of top honors across three prestigious national education rankings. The circular attributes this success to the collective efforts of the learners, faculty, and the unwavering support of the parents. This achievement reflects the school's commitment to curiosity, dedication, and partnership within the community.

Sources:
1. LQ Exam Circular (JBCN International School, Parel) (2) — 2025-11-12
2. C 172 (2025 26) Celebrating JBCN Parel’s Outstanding National Rankings — 2025-10-29
3. C 081 (2025 26) Clarification About Diwali Break & School Reopening — 2025-10-24
4. C 016 (2025 26) School Bus Routes For The AY 25 26 — 2025-11-01
5. C 054 (2025 26) Reminder Executive Committee Of The PTA For The AY 2025 26 At JBCN International School, Parel — 2025-08-12",answered,0.55,gemini-2.0-flash,33224,"[""b5f6c37c-3348-4405-ae14-2b75b08d7639"",""9d8e658c-12e4-4f3f-83ac-6a3d8d80c9ab"",""066f49cd-2f7a-427f-a971-f2f83e7c62a8"",""4738b239-a818-4e0f-ac5e-67218a1dca93"",""68572ef8-2aa4-4595-b04d-c394f58d721c""]",null,2025-10-29 17:39:53.987874+00
225871f9-d051-4638-82d9-e514937cae45,null,tell me about Nashik trip,"Parent Orientation JBCN Parel G3 Nashik notes Day 2: 15th January 2026
Day 3: 16th January 2026
Adventure Activities | Trip Closure | Return to Mumbai
6:00 AM Wake up call followed by breakfast on 15 Jan 2026.

Grade 3 will be going on an educational trip to Nashik. According to the calendar, the trip begins on January 14, 2026, and ends on January 16, 2026. The students will be staying at the Nashik Freesia Resort by Express Inn, with quad-sharing room arrangements, as mentioned in the Parent Orientation JBCN Parel G3 Nashik circular. The trip includes visits to a hydroponics & aeroponics farm, a coin museum, Pandavleni Caves, and a local school, along with adventure activities and a hands-on archaeology workshop. AC Deluxe coaches with amenities like music systems and storage will be used for transportation, as per the Parent Orientation JBCN Parel G3 Nashik circular.

Sources:
1. Parent Orientation JBCN Parel G3 Nashik — 2026-01-16
2. C 075 (2025 26) Academic Educational Field Trip — 2025-09-12
3. C 165 (2025 26) Educational Field Trip (1) — 2025-10-28
4. Edu Trip Ends (Grade 3,4 & 5) — 2026-01-16
5. Edu Trip (Grade 3 ,4 & 5) — 2026-01-15",answered,0.97,gemini-2.0-flash,11220,"[""68ab3fb5-966f-45cb-b2c2-fc8c19b1d8d5"",""4f0ce02e-a1f3-4a8f-b51f-ea1c6d132a18"",""f425db34-9d26-44b5-a065-181fe6d04888""]",null,2025-10-29 17:35:26.693358+00
865df221-4814-4cea-93ae-848848bc1cce,null,when is Christmas?,Calendar: Christmas Carnival runs on 20 Dec 2025. Christmas Carnival. Audience: whole_school.,answered,null,calendar-resolver,1422,[],null,2025-10-29 17:34:55.706353+00
43122716-11a8-41c1-abf9-75897412265a,null,what are the upcoming events?,"Calendar: The next event is Election Day on 31 Oct 2025. Election Day. Audience: primary, secondary.

Circulars:
- Precursor Events Dresscode
- C 063 (2025 26) JPPL (JBCN Parents Premier League) Cricket Tournament – Season 12 Registration",answered,null,calendar-resolver,2635,"[""9cc95070-c106-4201-8515-8b6c6ae99e2b"",""10d62544-4195-4d34-9240-471bf068af44""]",null,2025-10-29 17:34:39.297009+00
1823869c-6651-4374-b2d1-e61d2d6edf5b,null,what is the circular about school rankings?,"Circular C 172, issued on October 28, 2025, celebrates JBCN International School, Parel's outstanding national rankings for the academic year 2025-26. It highlights the school's achievement of top honors across three prestigious national education rankings. The circular attributes this success to the collective spirit of the community, including the curiosity and commitment of learners, the dedication of the faculty, and the unwavering belief of parents.

Sources:
1. LQ Exam Circular (JBCN International School, Parel) (2) — 2025-11-12
2. C 172 (2025 26) Celebrating JBCN Parel’s Outstanding National Rankings — 2025-10-29
3. C 081 (2025 26) Clarification About Diwali Break & School Reopening — 2025-10-24
4. C 016 (2025 26) School Bus Routes For The AY 25 26 — 2025-11-01
5. C 054 (2025 26) Reminder Executive Committee Of The PTA For The AY 2025 26 At JBCN International School, Parel — 2025-08-12",answered,0.55,gemini-2.0-flash,15983,"[""b5f6c37c-3348-4405-ae14-2b75b08d7639"",""9d8e658c-12e4-4f3f-83ac-6a3d8d80c9ab"",""066f49cd-2f7a-427f-a971-f2f83e7c62a8"",""4738b239-a818-4e0f-ac5e-67218a1dca93"",""68572ef8-2aa4-4595-b04d-c394f58d721c""]",null,2025-10-29 17:34:18.140336+00
